LAB_0005,VAR_0001,VAR_0002,VAR_0003,VAR_0004,VAR_0005,VAR_0006,VAR_0007,VAR_0008,VAR_0009,VAR_0010,VAR_0011,VAR_0012,VAR_0013,VAR_0014,VAR_0015,VAR_0016,VAR_0017,VAR_0018,VAR_0019,VAR_0020,VAR_0021
100117,2,0,0,0,0,5186,9750,31,9,6,4670,17.276762,0.94093055,1925679.1,3578627.8,0.85575265,406.25156,0,205505.48,2451969.5,895126.3
100802,0,0,0,0,0,7712,4028,19,12,3,1381,26.632912,0.9733007,1015282.1,3384812,0.32733184,1660.5763,11,103357.375,2021752.4,3550215.8
101300,2,0,2,0,0,9147,7634,67,52,5,1710,20.090513,0.4631126,939851.94,8696466,0.941318,1616.3735,6,140598.11,946207.4,7141492
102495,2,0,0,0,0,8265,746,12,15,2,2892,15.026856,0.6547894,1911655.9,1098042.6,0.96366864,105.93803,9,96737.125,1000252.2,2272706.8
103107,1,0,0,0,0,6476,429,100,42,2,289,9.323673,0.18798847,539996.44,6087684.5,0.0635678,252.70293,2,59794.734,4153.182,4270622.5
103155,1,0,2,0,0,2300,3960,68,40,1,4722,7.6131043,0.7670434,602939.6,2661623,0.8268604,1663.089,10,91704.52,904872,6109602
105860,1,2,1,0,0,1242,3583,19,43,2,4305,11.318902,0.5312799,2585184.2,6027301.5,0.6342238,498.5674,9,26141.5,210400.73,424617.9
106083,0,2,1,0,0,10007,759,9,13,1,602,8.189627,0.9464216,851691.25,5645864,1.0272372,1244.2496,2,214485.61,2373358,9769053
106450,0,0,1,0,0,2327,67,62,52,7,230,31.311178,0.68338627,1057613.6,2780020.8,1.0032363,23.57093,4,7154.9854,460610,2142339.8
107166,0,2,1,0,0,10011,2704,0,18,4,287,29.161207,0.17185003,661941.06,783167.3,0.58220744,1162.7119,6,49871.707,3553549.5,1754564.5
108022,2,0,0,0,0,8961,1330,22,35,7,2084,19.156105,0.05506002,1052709.6,7915292,0.2524282,964.29987,6,210789.62,2470128.5,10558776
110757,2,0,0,0,0,6196,1652,16,25,2,2600,5.997762,0.03039725,1123798.8,7389962,0.032035124,66.42727,7,90202.01,560601.7,11869503
111738,1,1,1,0,0,4321,5717,79,39,7,3267,20.11438,0.014438531,1191213,4139174.8,0.79333633,1680.3004,8,174926.67,2914047.5,6729976
114074,1,2,0,0,0,8807,5783,95,44,0,1820,24.396198,0.2087476,8631.528,1350419.9,0.21488278,119.51548,2,149592.17,2078929.2,6098805
114709,0,0,2,0,0,7903,1603,44,54,4,1063,16.394222,0.811116,1473366.8,4057691.5,0.9060742,926.9676,11,158247.94,218415.38,6095275.5
114872,0,1,2,0,0,4263,7668,97,1,5,3013,5.7531533,0.54166657,731964.94,6720799.5,0.25350487,1178.87,1,200841.7,522049.6,6374743
115132,1,2,0,0,0,6169,9671,81,15,2,3188,20.744389,0.9643904,22612.29,1408056.5,1.0275213,730.5319,1,69051.07,733932.75,4246609
117996,0,0,1,0,0,3476,7773,93,5,6,4157,14.626656,0.57276857,507350.94,5487552.5,0.5847221,919.74866,9,7392.0396,2268635.2,215986.44
118490,1,2,0,0,0,4302,7369,91,25,5,1821,22.35952,0.060729545,312156.12,8463999,0.9094917,302.17563,9,27230.502,3385758.8,5110711.5
119047,0,2,1,0,0,9377,7171,97,22,1,1677,23.622568,0.61280704,49743.45,3889195.5,0.50909454,938.1189,8,89792.76,564664.7,6667781
120709,2,0,2,0,0,5422,541,95,34,3,687,5.2589464,0.11243067,1316765.4,7186291.5,0.88446826,510.87015,8,107818.32,3090714.5,6897183.5
120924,1,1,2,0,0,5098,9550,101,52,4,1586,16.879387,0.7652756,1796939.1,3922776.8,0.372409,717.6418,10,178880.89,522849.22,396329.22
121748,2,0,0,0,0,9282,9472,17,40,2,4369,26.951271,0.22550178,1891795.5,351519.12,0.78307456,835.00366,6,210825.14,2291791.5,2475458
122667,1,0,2,0,0,8937,1933,11,19,5,244,3.9326308,0.96621716,525866.06,379340.34,0.14867367,1665.0782,6,1705.1538,3138686.8,1340707.5
122764,1,0,2,0,0,8646,1213,9,23,0,4832,10.442667,0.36359665,981705.75,779018.25,0.05666376,45.011223,6,168157.03,3439967.8,5542249.5
124587,0,1,0,0,0,418,1109,60,56,5,2315,13.35451,0.82160646,948401.25,7417261.5,0.22792654,992.187,7,111818.875,310557.12,12398222
125134,2,0,2,0,0,246,2130,89,18,6,1780,29.297955,0.40093127,1660427.1,7432158.5,0.82417643,1147.8042,4,207899.7,1933357.6,179570.75
125479,0,0,2,0,0,4624,3308,50,17,5,1655,29.703707,0.07777824,2347113.8,7318006,0.6139812,1254.0857,10,34590.188,2392139.2,7710699.5
125904,0,0,1,0,0,3059,762,95,22,4,4620,3.029516,0.4444697,2024435.9,8749874,0.7117082,103.05401,6,33355.34,3103256.5,405875.66
128714,2,2,0,0,0,5942,6143,94,41,1,1324,8.822302,0.7659659,566574.2,5206389,0.7998991,1540.681,11,148951.95,540222.8,11767307
128761,0,2,1,0,0,3907,8887,28,47,2,3985,6.140825,0.2533923,455866.7,1429844.1,0.5320149,826.914,1,207115.36,2202579.8,5749835
129583,2,2,2,0,0,5752,5429,66,47,0,4899,7.57477,0.9573511,1787861.8,6742015,0.7844473,1507.1261,7,89770.71,278905.16,6486252.5
129643,0,2,1,0,0,5393,7092,40,12,3,4429,12.650196,0.20526597,18462.629,7865377,0.102284,596.0778,9,6849.1123,1552293.6,9485460
130184,2,2,2,0,0,2761,2610,86,24,7,4148,26.385263,0.57664615,2418125.8,668501.5,0.5440452,1304.7568,10,130874.34,839.6156,864445.94
131200,2,1,2,0,0,3914,5348,86,0,5,4724,27.126085,0.09220229,1819305.2,5242498,0.69831604,1394.5137,2,94517.75,2383923,7104344
131394,2,0,2,0,0,6437,2089,34,25,6,2228,7.7477617,0.16472988,530651.2,6972738,0.4006448,844.04364,10,129873.234,2018784.9,11701238
131774,1,2,0,0,0,1493,2922,8,21,5,3416,30.104292,0.102406666,1796521.9,7317033,0.6798809,1332.0106,10,141751.19,695653.9,6349644.5
132669,0,2,2,0,0,6897,9360,5,12,0,2075,36.978405,0.116512135,853556.25,4629805,0.5288213,1654.7305,0,95629.57,1223144.4,9137806
134391,1,2,1,0,0,3588,6871,31,9,2,2072,29.793312,0.009241217,881954.56,7397858,0.7869468,1080.6063,0,42087.97,2183875.5,1802041.9
135020,2,2,2,0,0,2644,568,18,32,7,157,11.475908,0.41643056,356578.62,4224729,0.54148513,1254.7516,11,90531.64,2411379.2,7748599
135153,1,0,0,0,0,3346,3988,62,46,7,3049,5.0829763,0.12245491,2478019.5,2369568,0.58724207,1338.362,0,126259.02,664581.25,27793.225
136190,0,0,0,0,0,5528,4455,56,1,4,486,21.177938,0.33304718,2644524.5,5934661,0.23658463,210.84877,0,176972.14,2700197,10863864
136445,1,1,2,0,0,7151,3657,52,38,6,3215,28.199928,0.8315536,1985782.9,2656851.8,0.46898383,1223.2571,9,85412.98,857069.9,2989101.5
